sample_no,q10_1en,ノイズフラグ,ノイズ理由
1152,Japan Taxi nationwide タクシー配車,設問と無関係,タクシー配車アプリに関する内容であり、旅行情報源として一般的ではない
3348,Japan Travel Site,,
158,japan walker,,
541,Japna Travel Network,,
3543,KKday,,
185,"KKday, Koloa, instagram, Facebook, local travel agency staff",,
2605,Klook,,
3019,LINE,,
526,line,,
2811,line,,
4728,Local tourism industry practitioners.,,
4473,Mainly friends and family.,,
2133,Mainly searching on Tik tok,,
4481,Many times it's with local shop owners.,,
3992,"Maps, internet evaluations, and recommendations from friends all aided in my trip planning.",,
4762,My coworkers.,,
4506,My coworkers.,,
3971,"My experiences were influenced by locals, travel events, and tourist websites.",,
4913,My friend,,
4649,My friend,,
4599,My friend who is from Japan and was born in Tokyo gave me lots of info,,
4504,My friend.,,
3968,"My journey was planned with the aid of maps, internet reviews, and friend recommendations.",,
3954,"My trip decisions were influenced by locals, trip discussions, and tourist websites.",,
775,NAVER,,
4608,network,極端に短い/情報量ゼロ,「network」のみで情報量が不足している
3207,Online info,,
3937,"Online reviews, maps, and advice from friends guided my trip.",,
3949,"Online reviews, maps, and recommendations from friends helped me.",,
3991,"Requested advice from regional guides, travel websites, and maps from Google.",,
475,samsung,設問と無関係,スマートフォンブランドに関する内容であり、旅行情報源としては一般的ではない
448,samsung,設問と無関係,スマートフォンブランドに関する内容であり、旅行情報源としては一般的ではない
4198,sdg,設問と無関係,SDGsに関する内容であり、旅行情報源とは無関係である
4920,"Search for relevant scenic spot guides, traffic information, etc. on the Internet.",,
4489,Skyscanner,,
2936,Social Media Accounts,,
1919,"SNSINSTAGRAM, Naver Blog",,
1049,talking to locals,,
4926,The local information center during the trip is the source from which I refer to the most information.,,
4490,The local service industry personnel can provide me with a lot of useful information.,,
4996,"The weather, the people, and the food there attracted me.",,
4759,through software such as google,,
4745,Tik Tok,,
4896,TIK TOK,,
4937,Tik tok,,
4921,Tik Tok,,
4793,Tik Tok,,
4789,Tik Tok,,
4888,tiktok,,
4900,tiktok,,
4786,TikTok,,
4768,TikTok,,
4715,tiktok,,
4785,TikTok,,
2675,tiktok,,
5016,TikTok,,
4874,tiktok,,
4792,tiktok,,
157,tiktok,,
4756,TripAdvisor,,
4734,TripAdvisor,,
4508,TripAdvisor,,
212,TripAdvisor,,
4985,TV,,
4578,TV,,
4393,tv,,
4690,twitter,,
4714,Twitter,,
3951,"Used Google Maps, travel blogs, and local guidebooks for tips.",,
3950,"Used online vacation pages, hotel staff recommendations, and apps.",,
3712,Very good survey for the day I go to,設問と無関係,アンケート自体への感想であり、情報源に関する回答ではない
3666,Very important for you to come over and watch the day,設問と無関係,アンケートへの回答として不適切で、意味不明な内容である
4712,Weather.com,,
87,Web searches,,
2879,x,,
4697,X,,
2809,X,,
93,X,,
4897,X,,
4955,X,,
1438,X and Facebook,,
1468,Yahoo,,
1882,Yahoo japan,,
4503,Yelp,,
4922,YOU TUBE,,
4933,You tube,,
3262,youtober,,
2837,youtube,,
356,YouTube,,
4876,YouTube,,
4703,YouTube,,
4661,Youtube,,
4883,YouTube,,
4795,YouTube,,
508,youtube,,
4794,YouTube,,
4536,youtube,,
4791,YouTube,,
884,YouTube,,
4790,YouTube,,
1133,YouTube,,
3174,YouTube、google,,
3056,Yutuber,,
1268,Garden Five Hyundai City Mall,設問と無関係,ショッピングモール名であり、旅行情報源としては一般的ではない
2074,Guidebook,,
1560,Guidebook app,,
2663,Genni,設問と無関係,固有名詞であり、旅行情報源としては一般的ではない
1317,Google,,
786,Google,,
1481,Google,,
3516,Google,,
3440,Google,,
404,Google,,
624,Google,,
851,Google,,
1392,Google,,
3500,Google,,
3032,Google,,
3279,Google,,
2264,Google,,
2039,Google,,
4820,Google,,
1953,Google,,
1758,Google,,
195,Google,,
1038,Google,,
1256,Google Search,,
776,Google Search,,
1536,Google Search,,
961,Google Search,,
1929,Google search.,,
411,Google Map,,
3548,"Google, YouTube",,
1540,"Google, Japanese friends",,
3649,Google Search,,
2554,Google Search,,
2026,Google Search and Google Maps,,
2227,"Through Google, personal blogs, local governments, and official websites of facilities",,
784,Google Map,,
4705,Google Map,,
783,Google Map,,
528,Google Map,,
1084,Google Map,,
797,Google Map,,
3542,Google Map,,
4824,Google Map,,
358,Google Map,,
1695,Google Map,,
1935,Google Map,,
3047,Google Map,,
815,Google Map,,
2186,Google Map,,
2523,Google Map,,
2579,Google Map,,
3648,Google Map,,
463,Google Map,,
1071,"Google Maps, Naver",,
423,Google Maps. Naver Search.,,
2686,Google Maps and Travel YouTube,,
1769,Google Maps,,
892,Google Apps,,
1249,Google App Review Site,,
629,Google or YouTube,,
4193,Google Maps,,
1188,Google Maps Google Maps Yomiwa Gurunavi,,
3470,Google Travel,,
1180,gururunavi google maps payday google maps yomiwa,,
2520,aunt,極端に短い/情報量ゼロ,「aunt」のみで情報量が不足している
854,Aunt Mom Friend,,
2597,"One is to check the consultation of their previous traveler through the travel website, and the other is uh",,
2668,The opinion of the family,,
522,Family and friends,,
2676,I remember it was on a travel website,,
1464,Friends I've been to,,
103,"The one I refer to the most is Xiaohongshu. There are a lot of sharing from travelers on it, which is very practical.",,
1207,"My colleague, who is a travel enthusiast and has been to many places, will recommend some off-the-beaten-path and fun spots",,
1202,"My colleague Lin Xiao, who is a travel enthusiast and has been to many places, will recommend me some niche and fun attractions",,
1177,"My friend Li Ming, who is a travel enthusiast who has been to many places, will share with me the interesting local attractions and special food.",,
2320,We will refer to the inquiry above X,,
2050,quick worker,極端に短い/情報量ゼロ,「quick worker」のみで情報量が不足している
1912,quick worker,極端に短い/情報量ゼロ,「quick worker」のみで情報量が不足している
664,Naver,,
3426,Naver,,
1578,Naver,,
2203,Naver,,
1196,Naver,,
471,Naver,,
2269,Naver,,
1341,Naver,,
317,Naver,,
402,Naver,,
1679,Naver,,
3394,Naver,,
3253,Naver,,
3384,Naver,,
3184,Naver,,
4175,Naver,,
3651,Naver,,
2949,Naver,,
570,Naver,,
908,Naver,,
1499,Naver,,
2356,Naver,,
1043,Naver Search,,
3356,Naver Search,,
1083,Naver Search,,
1958,Naver Search,,
2230,Naver Naildong Cafe,,
1332,Naver Blog,,
2594,Naver Blog,,
1388,Naver Blog,,
219,Naver Blog,,
580,Naver Blog,,
269,Naver Blog,,
4852,Naver Blog,,
3100,Naver Blog,,
290,Naver Blog,,
1747,Naver Blog,,
4160,Naver Blog,,
1635,Naver Blog,,
517,Naver Blog,,
200,"Naver Blog, Google Maps, Company Information, etc.",,
1026,"Naver Blog, Cafe",,
753,Naver Blog,,
3723,Naver Japan Travel Blog,,
2236,Naver Intellectuals,,
1023,Naver Cafe,,
2406,Naver Cafe,,
1493,Naver Cafe,,
3571,"Naver, Google",,
3980,"Naver, Google Search",,
3043,"Naver, Agoda, Travel Website",,
449,"Naver, YouTube",,
1613,"Naver, Instagram",,
3463,Naver. Google,,
433,Naver Blog,,
2198,Naver Blog,,
808,Naver Blog,,
1621,Search on Naver,,
455,Naver and YouTube,,
1703,Naver's Travel Blogs,,
1947,Naildong,,
1003,Naildong,,
2383,Naildong,,
387,Naildong Cafe,,
3308,Tourist centers around the world,,
1840,Watch TikTok to find out,,
1837,Ask netizens for help,,
2577,Where to,極端に短い/情報量ゼロ,「Where to」のみで情報量が不足している
827,Where to,極端に短い/情報量ゼロ,「Where to」のみで情報量が不足している
72,Where to,極端に短い/情報量ゼロ,「Where to」のみで情報量が不足している
1066,Where to,極端に短い/情報量ゼロ,「Where to」のみで情報量が不足している
524,Where to,極端に短い/情報量ゼロ,「Where to」のみで情報量が不足している
999,Qunar.com,,
2162,Qunar.com,,
2335,Ctrip,,
2566,Ctrip,,
105,Ctrip,,
2961,Ctrip,,
1658,Ctrip,,
359,Ctrip,,
1911,Ctrip,,
1797,Ctrip,,
782,Ctrip,,
1930,Ctrip,,
217,Ctrip,,
2175,Ctrip,,
995,Ctrip,,
2545,Ctrip,,
1903,Ctrip,,
3175,"Ctrip, hornet's nest",,
2418,Ctrip Travel & Douyin,,
551,Ctrip.com,,
3551,Internet Lookup,,
2680,Bus Advertising,,
2432,Friends,,
2629,Gaud,無意味な文字列,意味をなさない文字列である
289,Gaud,無意味な文字列,意味をなさない文字列である
2054,Gaud,無意味な文字列,意味をなさない文字列である
867,Enjoy Tokyo 100 times on YouTube Tokyo Kyu-chan,,
3188,Tokyo Travel Books,,
1237,An acquaintance who lives in Tokyo,,
1727,Information from web searches is most often referenced,,
778,The AI assistance of travel guides,,
2368,"During my trip to Japan, the most consulted sources of information were official websites, travel guides, books, and travel guides and travel books that were highly rated on the Internet.",,
310,Friends in Japan,,
337,Relatives in Japan,,
1437,Search using Google Maps,,
1834,Search online for yourself,,
1469,Social media,,
2330,The sharing of Pengyou on social APP.,,
2795,Social media,,
1279,Social media,,
2252,Social media,,
3553,Social media,,
2169,Social platforms,,
2672,Social platforms,,
153,Social networks,,
994,Social software,,
2427,Mainly articles published by people who have been on Xiaohongshu and the comments below,,
3097,Mainly from Xiaohongshu,,
1471,Mobile APP,,
1835,Mobile travel apps,,
3071,A former classmate who lives in Japan,,
2299,This is Tokyo,設問と無関係,旅行情報源に関する回答ではなく、場所に関する内容である
1854,Visit Disneyland,設問と無関係,旅行情報源に関する回答ではなく、訪問地に関する内容である
1444,Acquaintances,,
705,Friends who are familiar with Japan,,
1338,acquaintance,,
1841,"Word of mouth between acquaintances, travel app",,
959,daughter,極端に短い/情報量ゼロ,「daughter」のみで情報量が不足している
3729,Little Red Book,,
3172,Little Red Book,,
2895,Website for stingy teenagers,,
3429,Little Red Book,,
2796,Little Red Book,,
3008,Little Red Book,,
754,Little Red Book,,
535,Little Red Book,,
1676,Little Red Book,,
1422,Little Red Book,,
2242,Little Red Book,,
3427,Little Red Book,,
1008,Little Red Book,,
1789,Little Red Book,,
2336,Little Red Book,,
3466,Little Red Book,,
1002,Little Red Book,,
1992,Little Red Book,,
1892,Little Red Book,,
2327,Little Red Book,,
1779,Little Red Book,,
2987,Little Red Book,,
2557,Little Red Book,,
1289,Little Red Book,,
2595,The experience shared by bloggers in Xiaohongshu,,
2165,Xiaohongshu and Douyin,,
787,Go to Google and look up the location I'm going to directly about,,
2851,Search the internet and look at the blog,,
3469,Twitter,,
1153,"It was my friend, who was a travel expert and helped me a lot.",,
1086,"Qianqian, blog",,
31,"Colleagues, friends who have been there",,
2170,He has a pattern of motor development,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
1838,The mass media understands,極端に短い/情報量ゼロ,「The mass media understands」のみで情報量が不足している
1673,The court that acts as a spokesperson is in accordance with the law,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
2461,China Travel Network,,
843,Ask the staff at the hotel where you are staying or the information desk at the attraction,,
1288,Search through Google,,
1731,via TikTok,,
1009,Through X Media,,
1832,via Weibo,,
2179,Every day the couple works together,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
1439,TV,,
2508,The cost of land is peculiar to people,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
291,Local tour operator staff,,
2057,Local tourist information,,
3136,colleague,,
2413,colleague,,
2623,colleague,,
2776,colleague,,
1510,colleague,,
192,Colleagues share,,
654,Software shared by colleagues,,
2781,Same trip,極端に短い/情報量ゼロ,「Same trip」のみで情報量が不足している
1678,Same trip,極端に短い/情報量ゼロ,「Same trip」のみで情報量が不足している
3428,Same trip,極端に短い/情報量ゼロ,「Same trip」のみで情報量が不足している
1660,The first day of TRIS TV reds,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
511,"The official website of the Japan National Tourism Organization, colleagues and relatives around me",,
1264,Poisoned by self-guided travel in Japan,,
3199,Nippon Pass,,
2260,Nippon Pass,,
3725,Japanese Friends (Studying in Japan),,
2322,Travel to Japan,,
904,Japan Tourism- Japan Tourism Organization (Official Website),,
1041,Japan Travel Expert's website,,
1980,Japan Travel Network,,
3738,Japan Travel Network,,
134,Japan Travel website,,
382,Japan Tourism,,
539,Japan Travel Network,,
917,"Japan Tourism Organization, relatives and friends who live in Japan",,
1372,"Website of a backpacker inn, website of Japan travel poisoning, Google Maps review",,
634,media,,
1467,A video analyzed by media experts,,
2657,Aircraft advertising,,
540,WeChat,,
670,WeChat,,
559,WeChat,,
2626,WeChat,,
833,WeChat,,
133,Weibo,,
1617,Weibo,,
2043,Weibo,,
790,Weibo,,
2009,Meituan,,
3558,Baidu,,
3634,Baidu,,
2573,Baidu,,
3499,Baidu,,
549,Baidu,,
2002,Baidu,,
1786,Baidu,,
2419,Baidu,,
1615,Baidu,,
554,Baidu,,
1340,Baidu,,
1516,parents,,
1168,parents,,
1136,Friend,,
1391,Friend,,
357,Friend,,
1379,Friend,,
1097,Friend,,
127,Friend,,
1509,Friend,,
3066,Friend,,
3497,Friend,,
2773,Friend,,
2634,Friend,,
2569,Friend,,
1433,Friend,,
1671,Friend,,
2339,Friend,,
193,Friends have been there,,
2666,Opinion of a friend,,
2576,Word of mouth from friends,,
1665,Word of mouth from friends,,
3212,Recommendation from a friend,,
2662,Friends share,,
2860,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1766,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
2163,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1586,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
3242,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
823,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1551,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1545,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1721,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1602,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
2997,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
2176,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
3264,No,極端に短い/情報量ゼロ,「No」のみで情報量が不足している
1664,The word of mouth of acquaintances in the country,,
1839,Web Materials,,
1598,Search on the web,,
1480,Web searching,,
3068,Internet,,
110,Internet; youtuber,,
339,Online audio-visual platform,,
2807,on the web,,
1426,Web searching,,
3285,Web searching,,
2970,friend,,
3465,Take advantage of social platforms,,
3338,Take advantage of social platforms,,
1337,Travel planning,,
1662,guidebook,,
2333,"A guide to travel guides, books.",,
1286,travel agency,,
3510,travel agency,,
1843,Introductions by travel agency staff,,
545,Employees of travel agencies.,,
1728,Travel-related apps,,
1938,journey,,
1016,journey,,
1074,MGTO publishes information and guidelines.,,
2326,Information within the travel community.,,
3808,Travel books. Stingy Boy Net. Other travel experts' websites.,,
2471,Travelling Guru Blog,,
531,guide book,,
1028,guide book,,
1894,Travel Guide.com,,
1842,"Tourist information, communication on social media",,
2669,Travel websites,,
2740,Tour,,
3451,Travel Network,,
140,Forest-style walls,設問と無関係,旅行情報源とは無関係な内容である
1457,Contact a friend you know from your travel agency,,
1601,The most referenced are social media,,
3583,Parents Friends,,
3170,Woo woo,無意味な文字列,意味をなさない文字列である
2301,blog,,
895,blog,,
4823,blog,,
2838,blog,,
2042,Panibottle YouTube,,
822,Information provided by the child because the child is studying abroad in Japan,,
3143,broadcast,,
2426,broadcast,,
793,Tik Tok,,
1793,Tik Tok,,
1846,Tik Tok,,
88,Tik Tok,,
1173,Tik Tok,,
3656,Tik Tok,,
3524,Tik Tok,,
3450,Tik Tok,,
1996,Tik Tok,,
2337,Tik Tok,,
1064,Tik Tok,,
2853,Tik Tok,,
1873,Tik Tok,,
811,Tik Tok,,
2017,Tik Tok,,
794,Tik Tok,,
2045,Tik Tok,,
2526,Tik Tok,,
2793,Tik Tok,,
2797,Tik Tok,,
2525,Tik Tok,,
2862,Tik Tok,,
62,Tik Tok,,
2863,Tik Tok,,
3065,Tik Tok,,
2954,Tik Tok,,
3261,"Douyin, Meituan, friends",,
1275,Douyin platform,,
1611,Sogou,,
2710,Sogou,,
723,Search,,
750,Search,,
256,Search for information,,
1186,"Teh-Eat! Japan, Japan walker",,
1328,I found the necessary testis on social networks,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
2092,It is called Svete.,,
3554,Local official,,
1441,Local taxi driver,,
3505,Local tour recommendations,,
2671,Local advertising and infrastructure,,
3333,Search online,,
2995,Search online and be recommended by friends,,
80,site,極端に短い/情報量ゼロ,「site」のみで情報量が不足している
1344,Internet,,
3301,Chat software,,
1423,"with acquaintances, and online searches",,
582,Agoda,,
319,Information desk staff,,
788,lack,極端に短い/情報量ゼロ,「lack」のみで情報量が不足している
2614,Airbnb,,
1738,X,,
695,journey,,
3650,A friend with a lot of travel experience,,
2982,Travel Fair,,
1116,Travel Plus,,
602,Osaka Convention & Visitors Bureau,,
1567,Youtube Travel Timids or Blogs,,
2544,"YouTube, Google",,
1248,YouTube,,
686,YouTube,,
3225,YouTube,,
481,YouTube,,
1668,YouTube,,
2560,YouTube,,
2805,YouTube,,
2524,YouTube,,
684,YouTube,,
453,YouTube,,
3813,Youtube Travel Information,,
3575,YouTube review,,
871,YouTube Jeongse World,,
733,I watched local travel reviews on YouTube.,,
881,Through YouTube or Instagram Japanese friends,,
299,I watched a YouTube video about Panibottle on YouTube.,,
3041,YouTube,,
1488,YouTube Instagram,,
762,Expedia,,
3452,Expedia,,
1808,Insta Shorts,,
2130,Instagram,,
1708,Instagram,,
2911,Instagram,,
732,Instagram,,
3467,Instagram,,
478,Instagram,,
2088,Instagram,,
1491,Instagram,,
229,Instagram,,
4118,Instagram,,
236,"After getting the information through Instagram, I was able to find detailed information on Google",,
4136,"Instagram, Naver Blog, Friends",,
632,Internet,,
3281,Internet Search,,
1677,Internet Information,,
3105,Related galleries in Japan,,
2504,I have a friend who lived in Japan,,
1498,Japan Travel YouTuber,,
796,Japan Travel YouTube,,
215,"I searched for information on YouTube for Japan travel, and I mainly found out a lot through a travel agency called Here",,
2628,A friend who went on a trip to Japan,,
161,My younger brother often travels to Japan on business trips,,
3297,Japan National Tourism Organization,,
2380,Japanese friends,,
1654,Station attendant at the subway station,,
3191,a friend,,
2342,a friend,,
1719,Friends or travel influencers,,
2727,Friends and acquaintances,,
2732,"A friend went there before I went on a trip, so I got a lot of recommendations for restaurants and cafes that my friend went to.",,
1932,Community review (blog or travel gallery),,
3029,Travel Guide Japan App,,
2158,Triple,,
1033,Triple,,
2980,Triple,,
2148,Trip.com,,
394,I received recommendations for travel destinations in Japan on Twitter,,
666,Hana Tour,,
2571,Hana Tour Travel Agency Site,,
1720,Local Friends,,
1070,HotelsCombined,,
112,Books and magazines,,
1974,about,極端に短い/情報量ゼロ,「about」のみで情報量が不足している
805,vogue,,
1680,Miscellanies,,
380,TV,,
3026,Those who give are all thrown away by reading,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
2048,I don't remember exactly,極端に短い/情報量ゼロ,「I don't remember exactly」のみで情報量が不足している
1659,The first day of acquaintance with the general person,設問と無関係,回答内容が不適切で、旅行情報源とは無関係である
3654,Fliggy,,
2502,Fliggy Travel,,
2847,Fliggy Travel,,
1508,Fliggy.com,,
812,Hornet's nest free travel,,
