sample_no,q10_1en,ノイズフラグ,ノイズ理由
4708,Fodor’s Travel,該当なし,
4710,Fodor’s Travel,該当なし,
4718,Fodor’s Travel,該当なし,
4721,Fodor’s Travel,該当なし,
3969,"For suggestions I turned to the web, hotel workers, and apps.",該当なし,
3336,friend,該当なし,
3711,Friend and former student,該当なし,
4397,Friend who lives in Tokyo,該当なし,
4899,Friends,該当なし,
4903,Friends,該当なし,
741,general google searches and tripadvisor,該当なし,
4736,GetYourGuide,該当なし,
2704,good,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
4870,Good refer,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
2251,googel map,該当なし,
2229,google,該当なし,
1175,Google,該当なし,
4828,Google,該当なし,
3129,Google,該当なし,
4863,google,該当なし,
4881,Google,該当なし,
97,GOOGLE,該当なし,
4797,Google,該当なし,
4799,Google,該当なし,
1614,Google,該当なし,
4978,Google,該当なし,
4887,Google,該当なし,
3581,Google,該当なし,
4924,google,該当なし,
1157,Google,該当なし,
3020,google,該当なし,
4798,Google,該当なし,
4627,Google,該当なし,
4635,google,該当なし,
4681,Google,該当なし,
4623,Google,該当なし,
4689,Google,該当なし,
2515,GOOGLE,該当なし,
4814,Google,該当なし,
4906,google,該当なし,
4509,google,該当なし,
4892,Google,該当なし,
4730,Google,該当なし,
4557,Google,該当なし,
3130,Google,該当なし,
4886,Google,該当なし,
3926,Google,該当なし,
4562,Google,該当なし,
2964,google,該当なし,
923,google,該当なし,
2803,google,該当なし,
1733,Google,該当なし,
1247,google,該当なし,
1774,Google,該当なし,
4352,Google and YouTube search,該当なし,
2489,Google map,該当なし,
129,google map,該当なし,
190,Google map,該当なし,
3111,Google map,該当なし,
2481,Google map,該当なし,
2712,google map,該当なし,
2658,google map seacher,該当なし,
1390,Google map seacher,該当なし,
4879,Google Maps,該当なし,
4986,Google Maps,該当なし,
4732,Google Maps,該当なし,
4492,Google Maps,該当なし,
4919,Google Maps,該当なし,
3088,Google search,該当なし,
848,google search,該当なし,
556,Blogs about Google,該当なし,
1768,Google Search,該当なし,
4600,"Google, Viator, Instagram",該当なし,
4744,"Google,Facebook",該当なし,
1181,Google: Blogger Youtube: Drunk Japan and so on Introducing information about specific Japan that is related to the destination I am about to visit,該当なし,
1159,Google & Translate software,該当なし,
1870,"Google sources, consult some relevant locations",該当なし,
1290,Google Maps,該当なし,
3601,Google Maps,該当なし,
29,"Google Maps, Agoda, trivago",該当なし,
2779,Google Maps to find a restaurant,該当なし,
2371,Google Ratings/IG,該当なし,
2633,Google search,該当なし,
3722,Google search,該当なし,
1776,Google search,該当なし,
3358,HOW TO GET TO ANOTHER TERMINAL,設問と無関係,旅行期間中の情報源ではなく、移動手段に関する情報。
3795,I am constantly lookign things up on my phone. Google search is always the starting point. I dont recall what websites I went to from results of those searches. It would have been 5 or more every day.,該当なし,
4766,I had a friend who visited before me,該当なし,
4758,I learned about the local area through social media and also searched on Google during the process.,該当なし,
4761,I learned about the places I want to visit and the interesting scenic spots through my friends.,該当なし,
4855,I love Japan very well,設問と無関係,旅行情報源に関する回答ではない。
4760,"I most frequently use Google Search to obtain information about the travel destinations I want to know, as well as the locations of delicious foods.",該当なし,
4750,I mostly referred to my friend who had been to the destination before. He gave me a lot of practical tips,該当なし,
4915,I mostly referred to my friend who had lived in the destination for years. He gave me many insider tips on the best local food and hidden - gem spots.,該当なし,
4743,I referred to the TripAdvisor website most during my trip. It provided useful reviews about hotels and attractions,該当なし,
3935,"I relied on blogs, tourism sites, and recommendations from locals.",該当なし,
3936,"I used travel apps, local recommendations, and guidebooks.",該当なし,
4929,I will use travel guide apps and also ask the locals.,該当なし,
4765,Instagram,該当なし,
4691,Instagram,該当なし,
4699,Instagram,該当なし,
4895,Instagram,該当なし,
4662,Instagram,該当なし,
4773,Instagram,該当なし,
4882,Instagram,該当なし,
2463,"Travel tips or experiences for Instagram, Xiaohongshu, and YouTube",該当なし,
4707,"Instagram, X, Tiktok",該当なし,
3785,"instagram, youtube",該当なし,
966,instgram,該当なし,
4862,It amazing and fantastic and amazing app for making money and easy use to use and easy,設問と無関係,旅行情報源に関する回答ではない。
1054,It was just online apps for Japan or travel Japan sites,該当なし,
3621,It’s very good and perfect,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
4014,It's a great idea and I love it too,設問と無関係,旅行情報源に関する回答ではない。
4944,It's usually just food related.,設問と無関係,旅行情報源に関する回答ではない。
4990,It's very good in production and management,設問と無関係,旅行情報源に関する回答ではない。
4644,Jalan,該当なし,
1152,Japan Taxi nationwide タクシー配車,該当なし,
3348,Japan Travel Site,該当なし,
158,japan walker,該当なし,
541,Japna Travel Network,該当なし,
3543,KKday,該当なし,
185,"KKday, Koloa, instagram, Facebook, local travel agency staff",該当なし,
2605,Klook,該当なし,
3019,LINE,該当なし,
526,line,該当なし,
2811,line,該当なし,
4728,Local tourism industry practitioners.,該当なし,
4473,Mainly friends and family.,該当なし,
2133,Mainly searching on Tik tok,該当なし,
4481,Many times it's with local shop owners.,該当なし,
3992,"Maps, internet evaluations, and recommendations from friends all aided in my trip planning.",該当なし,
4762,My coworkers.,該当なし,
4506,My coworkers.,該当なし,
3971,"My experiences were influenced by locals, travel events, and tourist websites.",該当なし,
4913,My friend,該当なし,
4649,My friend,該当なし,
4599,My friend who is from Japan and was born in Tokyo gave me lots of info,該当なし,
4504,My friend.,該当なし,
3968,"My journey was planned with the aid of maps, internet reviews, and friend recommendations.",該当なし,
3954,"My trip decisions were influenced by locals, trip discussions, and tourist websites.",該当なし,
775,NAVER,該当なし,
4608,network,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
3207,Online info,該当なし,
3937,"Online reviews, maps, and advice from friends guided my trip.",該当なし,
3949,"Online reviews, maps, and recommendations from friends helped me.",該当なし,
3991,"Requested advice from regional guides, travel websites, and maps from Google.",該当なし,
475,samsung,設問と無関係,サムスンは企業名であり、旅行情報源とは関連性が低い。
448,samsung,設問と無関係,サムスンは企業名であり、旅行情報源とは関連性が低い。
4198,sdg,無意味な文字列,
4920,"Search for relevant scenic spot guides, traffic information, etc. on the Internet.",該当なし,
4489,Skyscanner,該当なし,
2936,Social Media Accounts,該当なし,
1919,"SNSINSTAGRAM, Naver Blog",該当なし,
1049,talking to locals,該当なし,
4926,The local information center during the trip is the source from which I refer to the most information.,該当なし,
4490,The local service industry personnel can provide me with a lot of useful information.,該当なし,
4996,"The weather, the people, and the food there attracted me.",設問と無関係,旅行情報源に関する回答ではない。
4759,through software such as google,該当なし,
4745,Tik Tok,該当なし,
4896,TIK TOK,該当なし,
4937,Tik tok,該当なし,
4921,Tik Tok,該当なし,
4793,Tik Tok,該当なし,
4789,Tik Tok,該当なし,
4888,tiktok,該当なし,
4900,tiktok,該当なし,
4786,TikTok,該当なし,
4768,TikTok,該当なし,
4715,tiktok,該当なし,
4785,TikTok,該当なし,
2675,tiktok,該当なし,
5016,TikTok,該当なし,
4874,tiktok,該当なし,
4792,tiktok,該当なし,
157,tiktok,該当なし,
4756,TripAdvisor,該当なし,
4734,TripAdvisor,該当なし,
4508,TripAdvisor,該当なし,
212,TripAdvisor,該当なし,
4985,TV,該当なし,
4578,TV,該当なし,
4393,tv,該当なし,
4690,twitter,該当なし,
4714,Twitter,該当なし,
3951,"Used Google Maps, travel blogs, and local guidebooks for tips.",該当なし,
3950,"Used online vacation pages, hotel staff recommendations, and apps.",該当なし,
3712,Very good survey for the day I go to,設問と無関係,旅行情報源に関する回答ではない。
3666,Very important for you to come over and watch the day,設問と無関係,旅行情報源に関する回答ではない。
4712,Weather.com,該当なし,
87,Web searches,該当なし,
2879,x,該当なし,
4697,X,該当なし,
2809,X,該当なし,
93,X,該当なし,
4897,X,該当なし,
4955,X,該当なし,
1438,X and Facebook,該当なし,
1468,Yahoo,該当なし,
1882,Yahoo japan,該当なし,
4503,Yelp,該当なし,
4922,YOU TUBE,該当なし,
4933,You tube,該当なし,
3262,youtober,該当なし,
2837,youtube,該当なし,
356,YouTube,該当なし,
4876,YouTube,該当なし,
4703,YouTube,該当なし,
4661,Youtube,該当なし,
4883,YouTube,該当なし,
4795,YouTube,該当なし,
508,youtube,該当なし,
4794,YouTube,該当なし,
4536,youtube,該当なし,
4791,YouTube,該当なし,
884,YouTube,該当なし,
4790,YouTube,該当なし,
1133,YouTube,該当なし,
3174,YouTube、google,該当なし,
3056,Yutuber,該当なし,
1268,Garden Five Hyundai City Mall,設問と無関係,特定の施設名であり、情報源として具体的ではない。
2074,Guidebook,該当なし,
1560,Guidebook app,該当なし,
2663,Genni,無意味な文字列,
1317,Google,該当なし,
786,Google,該当なし,
1481,Google,該当なし,
3516,Google,該当なし,
3440,Google,該当なし,
404,Google,該当なし,
624,Google,該当なし,
851,Google,該当なし,
1392,Google,該当なし,
3500,Google,該当なし,
3032,Google,該当なし,
3279,Google,該当なし,
2264,Google,該当なし,
2039,Google,該当なし,
4820,Google,該当なし,
1953,Google,該当なし,
1758,Google,該当なし,
195,Google,該当なし,
1038,Google,該当なし,
1256,Google Search,該当なし,
776,Google Search,該当なし,
1536,Google Search,該当なし,
961,Google Search,該当なし,
1929,Google search.,該当なし,
411,Google Map,該当なし,
3548,"Google, YouTube",該当なし,
1540,"Google, Japanese friends",該当なし,
3649,Google Search,該当なし,
2554,Google Search,該当なし,
2026,Google Search and Google Maps,該当なし,
2227,"Through Google, personal blogs, local governments, and official websites of facilities",該当なし,
784,Google Map,該当なし,
4705,Google Map,該当なし,
783,Google Map,該当なし,
528,Google Map,該当なし,
1084,Google Map,該当なし,
797,Google Map,該当なし,
3542,Google Map,該当なし,
4824,Google Map,該当なし,
358,Google Map,該当なし,
1695,Google Map,該当なし,
1935,Google Map,該当なし,
3047,Google Map,該当なし,
815,Google Map,該当なし,
2186,Google Map,該当なし,
2523,Google Map,該当なし,
2579,Google Map,該当なし,
3648,Google Map,該当なし,
463,Google Map,該当なし,
1071,"Google Maps, Naver",該当なし,
423,Google Maps. Naver Search.,該当なし,
2686,Google Maps and Travel YouTube,該当なし,
1769,Google Maps,該当なし,
892,Google Apps,該当なし,
1249,Google App Review Site,該当なし,
629,Google or YouTube,該当なし,
4193,Google Maps,該当なし,
1188,Google Maps Google Maps Yomiwa Gurunavi,該当なし,
3470,Google Travel,該当なし,
1180,gururunavi google maps payday google maps yomiwa,該当なし,
2520,aunt,該当なし,
854,Aunt Mom Friend,該当なし,
2597,"One is to check the consultation of their previous traveler through the travel website, and the other is uh",該当なし,
2668,The opinion of the family,該当なし,
522,Family and friends,該当なし,
2676,I remember it was on a travel website,該当なし,
1464,Friends I've been to,該当なし,
103,"The one I refer to the most is Xiaohongshu. There are a lot of sharing from travelers on it, which is very practical.",該当なし,
1207,"My colleague, who is a travel enthusiast and has been to many places, will recommend some off-the-beaten-path and fun spots",該当なし,
1202,"My colleague Lin Xiao, who is a travel enthusiast and has been to many places, will recommend me some niche and fun attractions",該当なし,
1177,"My friend Li Ming, who is a travel enthusiast who has been to many places, will share with me the interesting local attractions and special food.",該当なし,
2320,We will refer to the inquiry above X,設問と無関係,情報源に関する回答ではない。
2050,quick worker,無意味な文字列,
1912,quick worker,無意味な文字列,
664,Naver,該当なし,
3426,Naver,該当なし,
1578,Naver,該当なし,
2203,Naver,該当なし,
1196,Naver,該当なし,
471,Naver,該当なし,
2269,Naver,該当なし,
1341,Naver,該当なし,
317,Naver,該当なし,
402,Naver,該当なし,
1679,Naver,該当なし,
3394,Naver,該当なし,
3253,Naver,該当なし,
3384,Naver,該当なし,
3184,Naver,該当なし,
4175,Naver,該当なし,
3651,Naver,該当なし,
2949,Naver,該当なし,
570,Naver,該当なし,
908,Naver,該当なし,
1499,Naver,該当なし,
2356,Naver,該当なし,
1043,Naver Search,該当なし,
3356,Naver Search,該当なし,
1083,Naver Search,該当なし,
1958,Naver Search,該当なし,
2230,Naver Naildong Cafe,該当なし,
1332,Naver Blog,該当なし,
2594,Naver Blog,該当なし,
1388,Naver Blog,該当なし,
219,Naver Blog,該当なし,
580,Naver Blog,該当なし,
269,Naver Blog,該当なし,
4852,Naver Blog,該当なし,
3100,Naver Blog,該当なし,
290,Naver Blog,該当なし,
1747,Naver Blog,該当なし,
4160,Naver Blog,該当なし,
1635,Naver Blog,該当なし,
517,Naver Blog,該当なし,
200,"Naver Blog, Google Maps, Company Information, etc.",該当なし,
1026,"Naver Blog, Cafe",該当なし,
753,Naver Blog,該当なし,
3723,Naver Japan Travel Blog,該当なし,
2236,Naver Intellectuals,該当なし,
1023,Naver Cafe,該当なし,
2406,Naver Cafe,該当なし,
1493,Naver Cafe,該当なし,
3571,"Naver, Google",該当なし,
3980,"Naver, Google Search",該当なし,
3043,"Naver, Agoda, Travel Website",該当なし,
449,"Naver, YouTube",該当なし,
1613,"Naver, Instagram",該当なし,
3463,Naver. Google,該当なし,
433,Naver Blog,該当なし,
2198,Naver Blog,該当なし,
808,Naver Blog,該当なし,
1621,Search on Naver,該当なし,
455,Naver and YouTube,該当なし,
1703,Naver's Travel Blogs,該当なし,
1947,Naildong,該当なし,
1003,Naildong,該当なし,
2383,Naildong,該当なし,
387,Naildong Cafe,該当なし,
3308,Tourist centers around the world,該当なし,
1840,Watch TikTok to find out,該当なし,
1837,Ask netizens for help,該当なし,
2577,Where to,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
827,Where to,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
72,Where to,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1066,Where to,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
524,Where to,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
999,Qunar.com,該当なし,
2162,Qunar.com,該当なし,
2335,Ctrip,該当なし,
2566,Ctrip,該当なし,
105,Ctrip,該当なし,
2961,Ctrip,該当なし,
1658,Ctrip,該当なし,
359,Ctrip,該当なし,
1911,Ctrip,該当なし,
1797,Ctrip,該当なし,
782,Ctrip,該当なし,
1930,Ctrip,該当なし,
217,Ctrip,該当なし,
2175,Ctrip,該当なし,
995,Ctrip,該当なし,
2545,Ctrip,該当なし,
1903,Ctrip,該当なし,
3175,"Ctrip, hornet's nest",該当なし,
2418,Ctrip Travel & Douyin,該当なし,
551,Ctrip.com,該当なし,
3551,Internet Lookup,該当なし,
2680,Bus Advertising,該当なし,
2432,Friends,該当なし,
2629,Gaud,無意味な文字列,
289,Gaud,無意味な文字列,
2054,Gaud,無意味な文字列,
867,Enjoy Tokyo 100 times on YouTube Tokyo Kyu-chan,該当なし,
3188,Tokyo Travel Books,該当なし,
1237,An acquaintance who lives in Tokyo,該当なし,
1727,Information from web searches is most often referenced,該当なし,
778,The most is the AI assistance of travel guides,該当なし,
2368,"During my trip to Japan, the most consulted sources of information were official websites, travel guides, books, and travel guides and travel books that were highly rated on the Internet.",該当なし,
310,Friends in Japan,該当なし,
337,Relatives in Japan,該当なし,
1437,Search using Google Maps,該当なし,
1834,Search online for yourself,該当なし,
1469,Social media,該当なし,
2330,The sharing of Pengyou on social APP.,該当なし,
2795,Social media,該当なし,
1279,Social media,該当なし,
2252,Social media,該当なし,
3553,Social media,該当なし,
2169,Social platforms,該当なし,
2672,Social platforms,該当なし,
153,Social networks,該当なし,
994,Social software,該当なし,
2427,Mainly articles published by people who have been on Xiaohongshu and the comments below,該当なし,
3097,Mainly from Xiaohongshu,該当なし,
1471,Mobile APP,該当なし,
1835,Mobile travel apps,該当なし,
3071,A former classmate who lives in Japan,該当なし,
2299,This is Tokyo,設問と無関係,旅行情報源に関する回答ではない。
1854,Visit Disneyland,設問と無関係,旅行情報源に関する回答ではない。
1444,Acquaintances,該当なし,
705,Friends who are familiar with Japan,該当なし,
1338,acquaintance,該当なし,
1841,"Word of mouth between acquaintances, travel app",該当なし,
959,daughter,該当なし,
3729,Little Red Book,該当なし,
3172,Little Red Book,該当なし,
2895,Website for stingy teenagers,該当なし,
3429,Little Red Book,該当なし,
2796,Little Red Book,該当なし,
3008,Little Red Book,該当なし,
754,Little Red Book,該当なし,
535,Little Red Book,該当なし,
1676,Little Red Book,該当なし,
1422,Little Red Book,該当なし,
2242,Little Red Book,該当なし,
3427,Little Red Book,該当なし,
1008,Little Red Book,該当なし,
1789,Little Red Book,該当なし,
2336,Little Red Book,該当なし,
3466,Little Red Book,該当なし,
1002,Little Red Book,該当なし,
1992,Little Red Book,該当なし,
1892,Little Red Book,該当なし,
2327,Little Red Book,該当なし,
1779,Little Red Book,該当なし,
2987,Little Red Book,該当なし,
2557,Little Red Book,該当なし,
1289,Little Red Book,該当なし,
2595,The experience shared by bloggers in Xiaohongshu,該当なし,
2165,Xiaohongshu and Douyin,該当なし,
787,Go to Google and look up the location I'm going to directly about,該当なし,
2851,Search the internet and look at the blog,該当なし,
3469,Twitter,該当なし,
1153,"It was my friend, who was a travel expert and helped me a lot.",該当なし,
1086,"Qianqian, blog",該当なし,
31,"Colleagues, friends who have been there",該当なし,
2170,He has a pattern of motor development,設問と無関係,旅行情報源に関する回答ではない。
1838,The mass media understands,該当なし,
1673,The court that acts as a spokesperson is in accordance with the law,設問と無関係,旅行情報源に関する回答ではない。
2461,China Travel Network,該当なし,
843,Ask the staff at the hotel where you are staying or the information desk at the attraction,該当なし,
1288,Search through Google,該当なし,
1731,via TikTok,該当なし,
1009,Through X Media,該当なし,
1832,via Weibo,該当なし,
2179,Every day the couple works together,設問と無関係,旅行情報源に関する回答ではない。
1439,TV,該当なし,
2508,The cost of land is peculiar to people,設問と無関係,旅行情報源に関する回答ではない。
291,Local tour operator staff,該当なし,
2057,Local tourist information,該当なし,
3136,colleague,該当なし,
2413,colleague,該当なし,
2623,colleague,該当なし,
2776,colleague,該当なし,
1510,colleague,該当なし,
192,Colleagues share,該当なし,
654,Software shared by colleagues,該当なし,
2781,Same trip,設問と無関係,旅行情報源に関する回答ではない。
1678,Same trip,設問と無関係,旅行情報源に関する回答ではない。
3428,Same trip,設問と無関係,旅行情報源に関する回答ではない。
1660,The first day of TRIS TV reds,設問と無関係,旅行情報源に関する回答ではない。
511,"The official website of the Japan National Tourism Organization, colleagues and relatives around me",該当なし,
1264,Poisoned by self-guided travel in Japan,該当なし,
3199,Nippon Pass,該当なし,
2260,Nippon Pass,該当なし,
3725,Japanese Friends (Studying in Japan),該当なし,
2322,Travel to Japan,該当なし,
904,Japan Tourism- Japan Tourism Organization (Official Website),該当なし,
1041,Japan Travel Expert's website,該当なし,
1980,Japan Travel Network,該当なし,
3738,Japan Travel Network,該当なし,
134,Japan Travel website,該当なし,
382,Japan Tourism,該当なし,
539,Japan Travel Network,該当なし,
917,"Japan Tourism Organization, relatives and friends who live in Japan",該当なし,
1372,"Website of a backpacker inn, website of Japan travel poisoning, Google Maps review",該当なし,
634,media,該当なし,
1467,A video analyzed by media experts,該当なし,
2657,Aircraft advertising,該当なし,
540,WeChat,該当なし,
670,WeChat,該当なし,
559,WeChat,該当なし,
2626,WeChat,該当なし,
833,WeChat,該当なし,
133,Weibo,該当なし,
1617,Weibo,該当なし,
2043,Weibo,該当なし,
790,Weibo,該当なし,
2009,Meituan,該当なし,
3558,Baidu,該当なし,
3634,Baidu,該当なし,
2573,Baidu,該当なし,
3499,Baidu,該当なし,
549,Baidu,該当なし,
2002,Baidu,該当なし,
1786,Baidu,該当なし,
2419,Baidu,該当なし,
1615,Baidu,該当なし,
554,Baidu,該当なし,
1340,Baidu,該当なし,
1516,parents,該当なし,
1168,parents,該当なし,
1136,Friend,該当なし,
1391,Friend,該当なし,
357,Friend,該当なし,
1379,Friend,該当なし,
1097,Friend,該当なし,
127,Friend,該当なし,
1509,Friend,該当なし,
3066,Friend,該当なし,
3497,Friend,該当なし,
2773,Friend,該当なし,
2634,Friend,該当なし,
2569,Friend,該当なし,
1433,Friend,該当なし,
1671,Friend,該当なし,
2339,Friend,該当なし,
193,Friends have been there,該当なし,
2666,Opinion of a friend,該当なし,
2576,Word of mouth from friends,該当なし,
1665,Word of mouth from friends,該当なし,
3212,Recommendation from a friend,該当なし,
2662,Friends share,該当なし,
2860,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1766,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
2163,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1586,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
3242,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
823,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1551,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1545,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1721,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1602,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
2997,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
2176,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
3264,No,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1664,The word of mouth of acquaintances in the country,該当なし,
1839,Web Materials,該当なし,
1598,Search on the web,該当なし,
1480,Web searching,該当なし,
3068,Internet,該当なし,
110,Internet; youtuber,該当なし,
339,Online audio-visual platform,該当なし,
2807,on the web,該当なし,
1426,Web searching,該当なし,
3285,Web searching,該当なし,
2970,friend,該当なし,
3465,Take advantage of social platforms,該当なし,
3338,Take advantage of social platforms,該当なし,
1337,Travel planning,設問と無関係,情報源に関する回答ではない。
1662,guidebook,該当なし,
2333,"A guide to travel guides, books.",該当なし,
1286,travel agency,該当なし,
3510,travel agency,該当なし,
1843,Introductions by travel agency staff,該当なし,
545,Employees of travel agencies.,該当なし,
1728,Travel-related apps,該当なし,
1938,journey,該当なし,
1016,journey,該当なし,
1074,MGTO publishes information and guidelines.,該当なし,
2326,Information within the travel community.,該当なし,
3808,Travel books. Stingy Boy Net. Other travel experts' websites.,該当なし,
2471,Travelling Guru Blog,該当なし,
531,guide book,該当なし,
1028,guide book,該当なし,
1894,Travel Guide.com,該当なし,
1842,"Tourist information, communication on social media",該当なし,
2669,Travel websites,該当なし,
2740,Tour,該当なし,
3451,Travel Network,該当なし,
140,Forest-style walls,設問と無関係,旅行情報源に関する回答ではない。
1457,Contact a friend you know from your travel agency,該当なし,
1601,The most referenced are social media,該当なし,
3583,Parents Friends,該当なし,
3170,Woo woo,無意味な文字列,
2301,blog,該当なし,
895,blog,該当なし,
4823,blog,該当なし,
2838,blog,該当なし,
2042,Panibottle YouTube,該当なし,
822,Information provided by the child because the child is studying abroad in Japan,該当なし,
3143,broadcast,該当なし,
2426,broadcast,該当なし,
793,Tik Tok,該当なし,
1793,Tik Tok,該当なし,
1846,Tik Tok,該当なし,
88,Tik Tok,該当なし,
1173,Tik Tok,該当なし,
3656,Tik Tok,該当なし,
3524,Tik Tok,該当なし,
3450,Tik Tok,該当なし,
1996,Tik Tok,該当なし,
2337,Tik Tok,該当なし,
1064,Tik Tok,該当なし,
2853,Tik Tok,該当なし,
1873,Tik Tok,該当なし,
811,Tik Tok,該当なし,
2017,Tik Tok,該当なし,
794,Tik Tok,該当なし,
2045,Tik Tok,該当なし,
2526,Tik Tok,該当なし,
2793,Tik Tok,該当なし,
2797,Tik Tok,該当なし,
2525,Tik Tok,該当なし,
2862,Tik Tok,該当なし,
62,Tik Tok,該当なし,
2863,Tik Tok,該当なし,
3065,Tik Tok,該当なし,
2954,Tik Tok,該当なし,
3261,"Douyin, Meituan, friends",該当なし,
1275,Douyin platform,該当なし,
1611,Sogou,該当なし,
2710,Sogou,該当なし,
723,Search,該当なし,
750,Search,該当なし,
256,Search for information,該当なし,
1186,"Teh-Eat! Japan, Japan walker",該当なし,
1328,I found the necessary testis on social networks,設問と無関係,旅行情報源に関する回答ではない。
2092,It is called Svete.,無意味な文字列,
3554,Local official,該当なし,
1441,Local taxi driver,該当なし,
3505,Local tour recommendations,該当なし,
2671,Local advertising and infrastructure,該当なし,
3333,Search online,該当なし,
2995,Search online and be recommended by friends,該当なし,
80,site,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1344,Internet,該当なし,
3301,Chat software,該当なし,
1423,"with acquaintances, and online searches",該当なし,
582,Agoda,該当なし,
319,Information desk staff,該当なし,
788,lack,設問と無関係,情報源に関する回答ではない。
2614,Airbnb,該当なし,
1738,X,該当なし,
695,journey,該当なし,
3650,A friend with a lot of travel experience,該当なし,
2982,Travel Fair,該当なし,
1116,Travel Plus,該当なし,
602,Osaka Convention & Visitors Bureau,該当なし,
1567,Youtube Travel Timids or Blogs,該当なし,
2544,"YouTube, Google",該当なし,
1248,YouTube,該当なし,
686,YouTube,該当なし,
3225,YouTube,該当なし,
481,YouTube,該当なし,
1668,YouTube,該当なし,
2560,YouTube,該当なし,
2805,YouTube,該当なし,
2524,YouTube,該当なし,
684,YouTube,該当なし,
453,YouTube,該当なし,
3813,Youtube Travel Information,該当なし,
3575,YouTube review,該当なし,
871,YouTube Jeongse World,該当なし,
733,I watched local travel reviews on YouTube.,該当なし,
881,Through YouTube or Instagram Japanese friends,該当なし,
299,I watched a YouTube video about Panibottle on YouTube.,該当なし,
3041,YouTube,該当なし,
1488,YouTube Instagram,該当なし,
762,Expedia,該当なし,
3452,Expedia,該当なし,
1808,Insta Shorts,該当なし,
2130,Instagram,該当なし,
1708,Instagram,該当なし,
2911,Instagram,該当なし,
732,Instagram,該当なし,
3467,Instagram,該当なし,
478,Instagram,該当なし,
2088,Instagram,該当なし,
1491,Instagram,該当なし,
229,Instagram,該当なし,
4118,Instagram,該当なし,
236,"After getting the information through Instagram, I was able to find detailed information on Google",該当なし,
4136,"Instagram, Naver Blog, Friends",該当なし,
